source,target,weight
459,9109,1
459,6260,1
459,9928,1
459,4229,1
459,4201,1
459,4855,1
459,5385,1
459,7550,1
459,5323,1
459,1345,1
459,2635,1
459,4642,1
459,7252,1
459,2993,1
459,4117,1
459,4723,1
459,5503,1
459,3807,1
459,7168,1
459,4138,1
459,7773,1
459,1762,1
459,2907,1
459,4531,1
459,4072,1
459,2993,1
459,3971,1
453,5360,1
453,7433,1
453,2824,1
453,5360,1
453,7433,1
453,4872,1
453,2824,1
453,10153,1
453,881,1
2915,5248,1
2915,10150,1
2915,423,1
2915,6584,1
2915,5134,1
2915,6580,1
2915,974,1
19,7449,1
19,9613,1
19,8944,1
19,1476,1
19,5824,1
19,8809,1
19,1558,1
19,9257,1
19,8558,1
19,8627,1
19,2951,1
19,8605,1
19,8074,1
19,4096,1
19,3253,1
19,3253,1
19,8558,1
19,7364,1
19,196,1
19,7507,1
19,9525,1
19,5824,1
19,4042,1
19,7020,1
8794,1151,1
8794,5807,1
8794,1545,1
8794,8643,1
8794,6748,1
8794,1546,1
8794,3164,1
8794,4433,1
8794,4331,1
8794,5549,1
8794,2653,1
8794,5380,1
8794,9077,1
8794,8715,1
8794,164,1
8794,5866,1
1478,1433,1
1478,7942,1
1478,2307,1
1478,3608,1
1478,9907,1
1478,8175,1
1478,805,1
1478,1470,1
1818,7807,1
1818,3055,1
1818,9996,1
1818,6917,1
1818,3031,1
1818,7255,1
1818,8544,1
1818,9491,1
1818,1049,1
1818,4224,1
1818,1594,1
1818,9984,1
1818,1198,1
1818,10287,1
1818,7379,1
2146,9893,1
2146,10162,1
2146,5228,1
2146,1646,1
2146,570,1
2146,5591,1
2146,4988,1
2146,5351,1
2146,2434,1
2146,1458,1
2146,6280,1
2146,5282,1
2146,10183,1
2146,5867,1
2146,3262,1
2146,1995,1
2146,7601,1
2146,9249,1
2146,7822,1
2146,9901,1
2146,5047,1
2146,10178,1
2146,9925,1
2146,8803,1
2146,9670,1
2146,8871,1
2146,8768,1
2146,9620,1
2146,5761,1
2146,6225,1
2146,6670,1
2146,576,1
2146,4920,1
2146,10288,1
2146,1710,1
2146,2407,1
2146,6436,1
2146,6578,1
2146,196,1
2146,7917,1
2146,6436,1
2146,10243,1
2146,3770,1
2146,1225,1
2146,8563,1
2146,1535,1
2146,8332,1
2146,10050,1
2146,6436,1
2146,9381,1
2146,196,1
2146,5089,1
2146,196,1
2146,4014,1
2146,3509,1
2146,6918,1
2146,2007,1
2146,1691,1
2146,606,1
2146,9768,1
6653,10169,1
6653,4891,1
6653,3905,1
6653,5716,1
6653,3993,1
6653,8139,1
6653,3963,1
162,4903,1
162,2399,1
162,4992,1
162,760,1
162,9007,1
162,944,1
162,2867,1
162,1369,1
162,5624,1
162,4914,1
162,5774,1
162,6965,1
162,2266,1
162,499,1
162,5449,1
162,3373,1
162,3800,1
162,9004,1
162,2834,1
162,1994,1
162,9197,1
162,8303,1
162,4562,1
162,4635,1
162,7988,1
162,3739,1
162,2829,1
162,10174,1
162,8058,1
162,5624,1
162,9839,1
162,9197,1
162,3393,1
162,6585,1
162,5938,1
6344,6685,1
6344,4140,1
6344,2818,1
6344,9497,1
6344,5564,1
6344,1122,1
6344,7344,1
6344,9944,1
6344,5861,1
6344,4023,1
6344,9794,1
6924,8138,1
6924,5221,1
6924,7850,1
6924,5442,1
6924,8069,1
6924,193,1
6924,368,1
6924,9773,1
6924,6622,1
6924,449,1
6924,5468,1
