,Id,Label,timeset,index,componentnumber,modularity_class,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dg,closeness,between
113,113,inspire,,113.0,0,1,5.5e-05,0.000261,5,11,16,0.260178,0.271166,1584.209079,0.001158189363961,0.308048475297449,0.001158189363961
114,114,acquit,,114.0,0,9,5.9999999999999995e-05,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.283321130870189,0.000579094681980503
115,115,dissatisfactory,,115.0,0,11,0.000344,0.0,14,0,14,0.0,0.0,0.0,0.00135122092462117,0.305136949997063,0.00135122092462117
116,116,intense,,116.0,0,8,0.001248,0.002246,36,51,87,0.292218,0.31017,33234.904213,0.00511533635749445,0.317135980969136,0.00511533635749445
117,117,heyday,,117.0,0,17,0.001363,0.001266,8,8,16,0.263157,0.274071,3170.348268,0.000965157803300839,0.309822213706719,0.000965157803300839
118,118,equivalent,,118.0,0,3,5.9999999999999995e-05,0.00047599999999999997,11,43,54,0.278446,0.293175,11134.874251,0.00376411543287327,0.300076150692766,0.00376411543287327
119,119,free-for-all,,119.0,0,1,5.1e-05,0.0,17,0,17,0.0,0.0,0.0,0.00164076826561142,0.286606605893873,0.00164076826561142
120,120,advertise,,120.0,0,3,5.9999999999999995e-05,5.2000000000000004e-05,17,19,36,0.26902,0.281429,28.66542,0.00212334716726184,0.286114481999849,0.00212334716726184
121,121,encourage,,121.0,0,1,7.3e-05,0.00028,21,34,55,0.284766,0.299367,25274.29936,0.00337805231155293,0.319865679486363,0.00337805231155293
122,122,starch,,122.0,0,2,0.000173,0.000192,26,29,55,0.294933,0.309989,0.0,0.00279895762957243,0.308812749328946,0.00279895762957243
123,123,bespeak,,123.0,0,24,0.001188,0.001242,11,24,35,0.284268,0.298465,24412.99401,0.00221986294759193,0.300006438496067,0.00221986294759193
124,124,plateful,,124.0,0,3,0.000633,0.000644,50,53,103,0.284537,0.300559,0.177981,0.00521185213782453,0.300591280399504,0.00521185213782453
125,125,quest,,125.0,0,6,6.4e-05,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.281039763766337,0.000675610462310587
126,126,sultan,,126.0,0,15,2.8999999999999997e-05,0.00017900000000000001,13,35,48,0.237396,0.247767,1426.082018,0.00337805231155293,0.248091391288856,0.00337805231155293
127,127,puerile,,127.0,0,23,4.1e-05,7.099999999999999e-05,18,29,47,0.245987,0.256974,26257.920449,0.00250941028858218,0.265428850420085,0.00250941028858218
128,128,irreproachable,,128.0,0,5,0.000152,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.280277311884171,0.000675610462310587
129,129,clench,,129.0,0,19,8.499999999999999e-05,2.5e-05,12,10,22,0.252214,0.263649,815.279468,0.00125470514429109,0.286741838964461,0.00125470514429109
130,130,snug,,130.0,0,11,0.001407,0.001532,18,34,52,0.294096,0.309498,58157.212405,0.00337805231155293,0.312824276034839,0.00337805231155293
131,131,effortful,,131.0,0,12,0.000417,0.00042,28,30,58,0.286117,0.30165,0.0,0.00289547340990251,0.30065251487255,0.00289547340990251
132,132,conspire,,132.0,0,3,1.4999999999999999e-05,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.267760975456822,0.000675610462310587
133,133,deep-seated,,133.0,0,11,3.4e-05,2.1e-05,7,9,16,0.242026,0.251175,0.0,0.000868642022970755,0.264342196306498,0.000868642022970755
134,134,lapse,,134.0,0,9,0.00039,0.000725,45,75,120,0.308802,0.327887,39345.465168,0.00665958884277579,0.337471718421931,0.00665958884277579
135,135,emit,,135.0,0,6,7.6e-05,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.287732118536431,0.000675610462310587
136,136,greenhorn,,136.0,0,13,6.1e-05,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.273119592768216,0.000579094681980503
137,137,veil,,137.0,0,19,0.000124,0.00010400000000000001,40,53,93,0.280611,0.294504,16392.977213,0.00434321011485377,0.297741129634289,0.00434321011485377
138,138,bang-bang,,138.0,0,8,0.0016,0.001557,16,18,34,0.267148,0.279644,0.0,0.0017372840459415101,0.286686139306542,0.0017372840459415101
139,139,jump,,139.0,0,6,0.0009960000000000001,0.000666,69,76,145,0.312836,0.332894,39471.634161,0.00723868352475629,0.330085683304063,0.00723868352475629
140,140,reprise,,140.0,0,24,1.7e-05,4.5e-05,19,28,47,0.238501,0.248335,14339.328202,0.00250941028858218,0.263324795861916,0.00250941028858218
141,141,bordering,,141.0,0,9,2.8000000000000003e-05,0.0,9,0,9,0.0,0.0,0.0,0.000675610462310587,0.26335835923449,0.000675610462310587
142,142,hurry,,142.0,0,6,0.000641,0.000721,81,120,201,0.314419,0.338113,45098.692462,0.0107132516166393,0.330054046709388,0.0107132516166393
143,143,topflight,,143.0,0,17,0.100524,0.10279500000000001,87,91,178,0.322095,0.344945,0.0,0.00878293601003764,0.33937852619988,0.00878293601003764
144,144,foxiness,,144.0,0,24,6.6e-05,4e-05,40,53,93,0.249598,0.260476,18244.34577,0.00415017855419361,0.264959137135507,0.00415017855419361
145,145,foaming,,145.0,0,8,0.0019420000000000001,0.002075,33,38,71,0.27137,0.285931,1690.415107,0.0034745680918830202,0.288527668995435,0.0034745680918830202
146,146,inspect,,146.0,0,4,6.2e-05,6.1e-05,9,10,19,0.248443,0.257708,43.823878,0.00106167358363092,0.275589450104051,0.00106167358363092
147,147,happy,,147.0,0,18,0.000502,0.00055,26,35,61,0.289552,0.304791,64807.099323,0.0034745680918830202,0.314366360832869,0.0034745680918830202
148,148,somewhere,,148.0,0,9,0.00046699999999999997,0.0005099999999999999,13,14,27,0.262792,0.273849,0.0,0.00144773670495125,0.287244111551203,0.00144773670495125
149,149,bedevil,,149.0,0,1,2.8000000000000003e-05,1.8e-05,14,13,27,0.243261,0.252061,313.549336,0.00154425248528134,0.280132913475164,0.00154425248528134
150,150,save,,150.0,0,9,7.7e-05,0.0,11,0,11,0.0,0.0,0.0,0.000965157803300839,0.276844915616222,0.000965157803300839
151,151,jangle,,151.0,0,0,5.9999999999999995e-05,0.00011399999999999999,19,62,81,0.278461,0.294913,11828.231814,0.00550139947881478,0.297261371814771,0.00550139947881478
152,152,codger,,152.0,0,10,0.000227,0.0,12,0,12,0.0,0.0,0.0,0.001158189363961,0.291449818491002,0.001158189363961
153,153,wrath,,153.0,0,1,5.9999999999999995e-05,0.000151,17,22,39,0.261879,0.273728,4154.957157,0.00212334716726184,0.296425505453075,0.00212334716726184
154,154,painful,,154.0,0,12,0.000271,0.00033,14,17,31,0.254443,0.266951,3754.672984,0.00193031560660167,0.285758352447945,0.00193031560660167
155,155,boldly,,155.0,0,8,7.000000000000001e-06,6e-06,5,14,19,0.191493,0.196711,0.0,0.00154425248528134,0.206451144382617,0.00154425248528134
156,156,springy,,156.0,0,8,0.00031099999999999997,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.267144748553231,0.000579094681980503
157,157,brickbat,,157.0,0,6,0.00013000000000000002,0.00013000000000000002,18,20,38,0.280603,0.294418,0.0,0.00193031560660167,0.297844136425375,0.00193031560660167
158,158,leader,,158.0,0,6,0.001695,0.0,12,0,12,0.0,0.0,0.0,0.001158189363961,0.296289483654083,0.001158189363961
159,159,boozy,,159.0,0,23,0.000433,0.0,12,0,12,0.0,0.0,0.0,0.001158189363961,0.298368858225287,0.001158189363961
160,160,single-minded,,160.0,0,12,6.8e-05,0.00014,10,11,21,0.263062,0.273282,221.421147,0.001158189363961,0.304507375130444,0.001158189363961
161,161,mop-up,,161.0,0,9,5.4000000000000005e-05,8.4e-05,12,14,26,0.259585,0.27051,0.0,0.00135122092462117,0.283889470364941,0.00135122092462117
162,162,forceful,,162.0,0,12,0.000182,0.00018899999999999999,22,35,57,0.267636,0.281323,18410.653984,0.00318502075089277,0.282840215628609,0.00318502075089277
163,163,heavy,,163.0,0,12,0.003694,0.005004,115,183,298,0.331244,0.357518,488648.926225,0.016118135315124,0.349233375567932,0.016118135315124
164,164,unwashed,,164.0,0,11,0.001441,0.001457,17,20,37,0.285734,0.299605,8559.953474,0.00193031560660167,0.300932761900686,0.00193031560660167
165,165,smoothen,,165.0,0,1,0.000109,0.000117,13,15,28,0.275498,0.287554,1589.543221,0.00144773670495125,0.292763027546207,0.00144773670495125
166,166,chaos,,166.0,0,1,3.5e-05,2.8000000000000003e-05,11,22,33,0.259066,0.271119,0.0,0.00212334716726184,0.274739295163964,0.00212334716726184
167,167,imbecile,,167.0,0,10,0.010103000000000001,0.011871,80,119,199,0.303949,0.324412,38868.321148,0.0116784094199401,0.319935019542614,0.0116784094199401
168,168,work,,168.0,0,9,0.00044500000000000003,0.000685,85,118,203,0.328074,0.35054,226500.738542,0.0110027989576295,0.352570531569537,0.0110027989576295
169,169,freeway,,169.0,0,9,0.000258,0.0,8,0,8,0.0,0.0,0.0,0.000772126242640671,0.293820474845726,0.000772126242640671
170,170,palooka,,170.0,0,10,0.00026000000000000003,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.264274575771272,0.000579094681980503
171,171,punt,,171.0,0,19,8e-06,0.0,10,0,10,0.0,0.0,0.0,0.000965157803300839,0.248610798124186,0.000965157803300839
172,172,platoon,,172.0,0,3,2.8999999999999997e-05,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.279201711152115,0.000868642022970755
173,173,utterly,,173.0,0,5,0.001846,0.0020570000000000002,34,47,81,0.288866,0.304838,28944.943912,0.00492230479683428,0.323238375396595,0.00492230479683428
174,174,woebegone,,174.0,0,11,0.002076,0.0021219999999999998,34,36,70,0.273163,0.287567,0.0,0.0034745680918830202,0.300189502137166,0.0034745680918830202
175,175,glimpse,,175.0,0,4,0.00031,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.284139324955322,0.000868642022970755
176,176,make,,176.0,0,4,0.0008349999999999999,0.001037,115,150,265,0.330624,0.356194,312533.318522,0.0137052408068719,0.358915429268016,0.0137052408068719
177,177,unrelenting,,177.0,0,12,0.00010400000000000001,0.0,11,0,11,0.0,0.0,0.0,0.00106167358363092,0.279111193495719,0.00106167358363092
178,178,complication,,178.0,0,1,4.6e-05,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.283251219149797,0.000675610462310587
